,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,217.0.194.153,Frankfurt am Main,DE,Germany,8.6805,50.1075,1002660
1,91.23.211.105,NAN,NAN,NAN,NAN,NAN,NAN
2,80.146.151.137,NAN,NAN,NAN,NAN,NAN,NAN
3,91.23.221.173,NAN,NAN,NAN,NAN,NAN,NAN
4,91.23.230.117,NAN,NAN,NAN,NAN,NAN,NAN
5,217.87.50.107,NAN,NAN,NAN,NAN,NAN,NAN
6,91.23.226.73,NAN,NAN,NAN,NAN,NAN,NAN
7,91.23.240.121,NAN,NAN,NAN,NAN,NAN,NAN
8,217.0.193.58,Bad Vilbel,DE,Germany,8.7415,50.1405,1000597
9,80.148.70.55,NAN,NAN,NAN,NAN,NAN,NAN
10,62.154.93.218,NAN,NAN,NAN,NAN,NAN,NAN
11,91.23.221.181,NAN,NAN,NAN,NAN,NAN,NAN
12,217.0.197.238,Bad Vilbel,DE,Germany,8.7375,50.1385,1000612
13,62.225.91.156,NAN,NAN,NAN,NAN,NAN,NAN
14,91.23.234.189,NAN,NAN,NAN,NAN,NAN,NAN
15,91.23.240.21,NAN,NAN,NAN,NAN,NAN,NAN
16,91.23.214.157,NAN,NAN,NAN,NAN,NAN,NAN
17,80.146.143.233,NAN,NAN,NAN,NAN,NAN,NAN
18,80.148.94.180,NAN,NAN,NAN,NAN,NAN,NAN
19,217.249.77.195,NAN,NAN,NAN,NAN,NAN,NAN
20,91.23.232.89,NAN,NAN,NAN,NAN,NAN,NAN
21,217.239.51.190,Saint-Fons,FR,France,4.8575,45.7195,12015
22,91.23.228.5,NAN,NAN,NAN,NAN,NAN,NAN
23,91.23.232.205,NAN,NAN,NAN,NAN,NAN,NAN
24,80.146.141.113,NAN,NAN,NAN,NAN,NAN,NAN
25,62.154.32.22,Borgfelde,DE,Germany,10.0395,53.5505,16156
26,91.23.236.57,NAN,NAN,NAN,NAN,NAN,NAN
27,217.5.66.86,Coburg,DE,Germany,10.9605,50.2485,30673
28,62.154.99.66,NAN,NAN,NAN,NAN,NAN,NAN
29,62.154.5.246,Paris,FR,France,2.3515,48.8715,51199
30,217.0.205.118,Mitte,DE,Germany,13.3985,52.5315,28428
31,80.146.152.217,NAN,NAN,NAN,NAN,NAN,NAN
32,91.23.205.57,NAN,NAN,NAN,NAN,NAN,NAN
33,93.232.22.208,Karlsruhe,DE,Germany,8.3895,48.9975,6250
34,62.154.52.169,Nuernberg,DE,Germany,11.0775,49.4505,1000806
35,91.23.204.177,NAN,NAN,NAN,NAN,NAN,NAN
36,79.194.162.23,NAN,NAN,NAN,NAN,NAN,NAN
37,62.154.0.241,Offenbach,DE,Germany,8.7395,50.1115,6558
38,217.5.84.117,NAN,NAN,NAN,NAN,NAN,NAN
39,91.23.192.241,NAN,NAN,NAN,NAN,NAN,NAN
40,217.0.198.113,Frankfurt am Main,DE,Germany,8.6805,50.1075,1002660
41,91.23.195.253,NAN,NAN,NAN,NAN,NAN,NAN
42,217.0.206.154,Offenbach,DE,Germany,8.7395,50.1115,6558
43,91.23.233.97,NAN,NAN,NAN,NAN,NAN,NAN
