,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,61.188.167.122,NAN,NAN,NAN,NAN,NAN,NAN
1,61.157.167.50,NAN,NAN,NAN,NAN,NAN,NAN
2,61.157.166.122,NAN,NAN,NAN,NAN,NAN,NAN
3,61.157.11.146,NAN,NAN,NAN,NAN,NAN,NAN
4,222.85.122.202,NAN,NAN,NAN,NAN,NAN,NAN
5,219.149.19.230,NAN,NAN,NAN,NAN,NAN,NAN
6,220.175.225.158,NAN,NAN,NAN,NAN,NAN,NAN
7,222.208.162.49,NAN,NAN,NAN,NAN,NAN,NAN
8,61.188.167.42,NAN,NAN,NAN,NAN,NAN,NAN
9,61.157.102.66,NAN,NAN,NAN,NAN,NAN,NAN
10,219.147.80.249,NAN,NAN,NAN,NAN,NAN,NAN
11,202.111.124.238,NAN,NAN,NAN,NAN,NAN,NAN
12,222.223.163.18,NAN,NAN,NAN,NAN,NAN,NAN
13,59.36.109.58,NAN,NAN,NAN,NAN,NAN,NAN
14,202.101.246.166,NAN,NAN,NAN,NAN,NAN,NAN
15,220.177.251.226,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
16,125.70.212.22,NAN,NAN,NAN,NAN,NAN,NAN
17,222.85.124.142,NAN,NAN,NAN,NAN,NAN,NAN
18,125.65.113.154,NAN,NAN,NAN,NAN,NAN,NAN
19,61.130.123.45,NAN,NAN,NAN,NAN,NAN,NAN
20,125.66.5.198,NAN,NAN,NAN,NAN,NAN,NAN
21,125.67.219.22,NAN,NAN,NAN,NAN,NAN,NAN
22,58.63.32.234,NAN,NAN,NAN,NAN,NAN,NAN
23,61.157.167.134,NAN,NAN,NAN,NAN,NAN,NAN
24,61.145.78.210,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
25,61.130.125.171,NAN,NAN,NAN,NAN,NAN,NAN
26,61.157.255.178,NAN,NAN,NAN,NAN,NAN,NAN
27,171.8.2.46,NAN,NAN,NAN,NAN,NAN,NAN
28,222.214.46.234,NAN,NAN,NAN,NAN,NAN,NAN
29,61.157.118.22,NAN,NAN,NAN,NAN,NAN,NAN
30,59.38.106.150,NAN,NAN,NAN,NAN,NAN,NAN
31,125.70.249.90,NAN,NAN,NAN,NAN,NAN,NAN
32,61.157.254.234,NAN,NAN,NAN,NAN,NAN,NAN
33,125.66.9.62,NAN,NAN,NAN,NAN,NAN,NAN
34,61.130.124.30,NAN,NAN,NAN,NAN,NAN,NAN
35,218.89.46.154,NAN,NAN,NAN,NAN,NAN,NAN
36,222.213.165.74,NAN,NAN,NAN,NAN,NAN,NAN
37,219.137.35.194,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
38,61.188.200.70,NAN,NAN,NAN,NAN,NAN,NAN
39,222.213.41.62,NAN,NAN,NAN,NAN,NAN,NAN
